timestamp,source_ip,dest_ip,protocol,action,threat_label,iso_is_anomaly,ae_is_anomaly,dbscan_is_anomaly,ensemble_anomaly,risk_score
2024-06-30,88.29.76.112,192.168.1.250,HTTP,allowed,benign,1,1,1,1,95
2024-04-01,103.93.57.36,192.168.1.201,FTP,allowed,benign,1,1,1,1,90
2024-07-31,177.52.183.80,192.168.1.50,HTTPS,blocked,suspicious,1,1,1,1,90
2024-03-09,122.63.201.122,192.168.1.136,SSH,blocked,benign,1,1,1,1,95
2024-12-05,141.26.13.167,192.168.1.141,TCP,allowed,suspicious,1,1,1,1,95
2024-11-21,187.14.173.168,192.168.1.78,HTTP,allowed,malicious,1,1,1,1,95
2024-08-18,177.52.183.80,192.168.1.167,TCP,blocked,suspicious,1,1,1,1,95
2024-06-02,104.187.87.205,192.168.1.182,FTP,allowed,suspicious,1,1,1,1,90
2024-11-30,245.200.237.136,192.168.1.123,HTTP,blocked,suspicious,1,1,1,1,100
2024-02-28,95.91.54.172,192.168.1.152,SSH,allowed,suspicious,1,1,1,1,95
2024-01-05,192.168.1.210,192.168.1.31,SSH,blocked,malicious,1,1,1,1,90
2024-10-01,88.29.76.112,192.168.1.68,UDP,blocked,suspicious,1,1,1,1,95
2024-09-20,57.115.151.72,192.168.1.80,HTTPS,blocked,benign,1,1,1,1,90
2024-12-20,55.234.242.146,192.168.1.102,SSH,blocked,suspicious,1,1,1,1,95
2024-01-18,62.225.146.243,192.168.1.133,HTTP,allowed,malicious,1,1,1,1,95
2024-11-20,44.137.187.63,192.168.1.174,HTTPS,blocked,benign,1,1,1,1,95
2024-03-03,104.187.87.205,192.168.1.64,UDP,blocked,suspicious,1,1,1,1,90
2024-07-30,235.165.118.37,192.168.1.114,HTTPS,blocked,suspicious,1,1,1,1,95
2024-10-12,69.180.240.175,192.168.1.13,TCP,allowed,suspicious,1,1,1,1,100
2024-11-16,109.47.72.119,192.168.1.218,TCP,blocked,malicious,1,1,1,1,95
2024-05-12,30.175.227.138,192.168.1.47,HTTP,blocked,suspicious,1,1,1,1,90
2024-06-25,103.172.167.96,192.168.1.3,HTTP,blocked,suspicious,1,1,1,1,90
2024-08-31,114.207.221.220,192.168.1.237,HTTP,blocked,benign,1,1,1,1,95
2024-09-07,166.19.156.163,192.168.1.152,ICMP,blocked,malicious,1,1,1,1,90
2024-10-14,69.180.240.175,192.168.1.36,SSH,allowed,benign,1,1,1,1,95
2024-03-23,225.184.81.55,192.168.1.47,SSH,allowed,suspicious,1,1,1,1,95
2024-10-13,44.137.187.63,192.168.1.7,HTTPS,allowed,benign,1,1,1,1,95
2024-03-24,249.129.196.46,192.168.1.30,SSH,blocked,benign,1,1,1,1,95
2024-02-26,59.151.57.2,192.168.1.157,HTTPS,allowed,malicious,1,1,1,1,90
2024-08-04,109.106.120.222,192.168.1.239,FTP,blocked,suspicious,1,1,1,1,95
2024-05-08,31.64.58.17,192.168.1.84,SSH,blocked,benign,1,1,1,1,95
2024-08-05,143.57.176.84,192.168.1.123,TCP,blocked,suspicious,1,1,1,1,90
2024-07-01,21.219.60.222,192.168.1.242,TCP,blocked,suspicious,1,1,1,1,100
2024-12-21,113.231.133.116,192.168.1.47,UDP,blocked,suspicious,1,1,1,1,95
2024-10-28,126.5.29.238,192.168.1.25,HTTP,blocked,suspicious,1,1,1,1,90
2024-04-04,21.219.60.222,192.168.1.49,HTTP,allowed,benign,1,1,1,1,95
